rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
1582753970499196829,,1,,1582753970,495716094,'',"""Hard Puff"""
1582753972505106635,,2,,1582753972,504473924,'',''
1582753973508317883,,3,,1582753973,507668972,'',"""Soft Sip"""
1582753975516907830,,4,,1582753975,516392946,'',''
1582753976522370107,,5,,1582753976,519488096,'',"""Soft Puff"""
1582753978529958166,,6,,1582753978,528495073,'',''
1582753979535791803,,7,,1582753979,531748056,'',"""Hard Sip"""
1582753981541209464,,8,,1582753981,539707899,'',''
1582753982543463134,,9,,1582753982,542879104,'',"""Soft Sip"""
1582753984555326832,,10,,1582753984,553658962,'',''
1582753985560244926,,11,,1582753985,556720018,'',"""Soft Puff"""
1582753987565079811,,12,,1582753987,563676118,'',''
1582753988567904018,,13,,1582753988,566929101,'',"""Hard Puff"""
1582753990577389550,,14,,1582753990,575757026,'',''
1582753991582484481,,15,,1582753991,579042911,'',"""Hard Sip"""
1582753993587202721,,16,,1582753993,586499929,'',''
1582753994593417115,,17,,1582753994,589636087,'',"""Soft Sip"""
1582753996602747155,,18,,1582753996,601212978,'',''
1582753997608019664,,19,,1582753997,604424953,'',"""Hard Puff"""
1582753999614506417,,20,,1582753999,613131999,'',''
1582754000619599370,,21,,1582754000,616024017,'',"""Soft Puff"""
1582754002624727913,,22,,1582754002,624219894,'',''
1582754003628405124,,23,,1582754003,627240896,'',"""Hard Sip"""
1582754005639667038,,24,,1582754005,638151884,'',''
1582754006644170315,,25,,1582754006,640573978,'',"""Soft Puff"""
1582754008649739944,,26,,1582754008,648384094,'',''
1582754009654805644,,27,,1582754009,651356935,'',"""Hard Sip"""
1582754011664692591,,28,,1582754011,663410902,'',''
1582754012668708273,,29,,1582754012,666529893,'',"""Soft Sip"""
1582754014675654740,,30,,1582754014,674185037,'',''
1582754015680923382,,31,,1582754015,677309036,'',"""Hard Puff"""
1582754017689879155,,32,,1582754017,688461065,'',''
1582754018694772412,,33,,1582754018,691406011,'',"""Soft Sip"""
1582754020700914447,,34,,1582754020,699376106,'',''
1582754021702952076,,35,,1582754021,702536106,'',"""Hard Puff"""
1582754023716293511,,36,,1582754023,715226888,'',''
1582754024719200579,,37,,1582754024,718170881,'',"""Soft Puff"""
1582754026727749313,,38,,1582754026,726761102,'',''
1582754027733392287,,39,,1582754027,729979038,'',"""Hard Sip"""
1582754029737840354,,40,,1582754029,736471891,'',''
