rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1581723691739990061,,1,,1581723691,737720966,"""Zero Band""",[0.0],"[0, 0, 0, 0]"
1581723691759221022,,2,,1581723691,756808042,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581723691779222685,,3,,1581723691,776763916,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581723691801020290,,4,,1581723691,798847913,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581723691819021211,,5,,1581723691,816755056,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581723691835892366,,6,,1581723691,834628105,"""Zero Band""",[-0.0016271184431388974],"[0, 0, 0, 0]"
1581723691854405657,,7,,1581723691,852662086,"""Soft Puff""",[-0.012453158386051655],"[0, 1, 0, 0]"
1581723691871376537,,8,,1581723691,870543956,"""Soft Puff""",[-0.023311322554945946],"[0, 1, 0, 0]"
1581723691885502491,,9,,1581723691,884521961,"""Soft Puff""",[-0.03416948765516281],"[0, 1, 0, 0]"
1581723691903482434,,10,,1581723691,902546882,"""Soft Puff""",[-0.04502765089273453],"[0, 1, 0, 0]"
1581723691919406041,,11,,1581723691,918550014,"""Soft Puff""",[-0.055885814130306244],"[0, 1, 0, 0]"
1581723691941534958,,12,,1581723691,940593004,"""Soft Puff""",[-0.06671185791492462],"[0, 1, 0, 0]"
1581723691997332192,,13,,1581723691,996608018,"""Soft Puff""",[-0.07757002115249634],"[0, 1, 0, 0]"
1581723692001502139,,14,,1581723692,547885,"""Soft Puff""",[-0.06671185791492462],"[0, 1, 0, 0]"
1581723692007168342,,15,,1581723692,6469964,"""Soft Puff""",[-0.07757002115249634],"[0, 1, 0, 0]"
1581723692015622577,,16,,1581723692,14570951,"""Soft Puff""",[-0.06671185791492462],"[0, 1, 0, 0]"
1581723692017147966,,17,,1581723692,16458988,"""Soft Puff""",[-0.07757002115249634],"[0, 1, 0, 0]"
1581723692033248159,,18,,1581723692,32521009,"""Soft Puff""",[-0.06671185791492462],"[0, 1, 0, 0]"
1581723692035147889,,19,,1581723692,34440994,"""Soft Puff""",[-0.07757002115249634],"[0, 1, 0, 0]"
1581723692095493996,,20,,1581723692,94611883,"""Soft Puff""",[-0.06671185791492462],"[0, 1, 0, 0]"
1581723692103102836,,21,,1581723692,102500915,"""Soft Puff""",[-0.07757002115249634],"[0, 1, 0, 0]"
1581723692105086637,,22,,1581723692,104458093,"""Soft Puff""",[-0.06671185791492462],"[0, 1, 0, 0]"
1581723692106973604,,23,,1581723692,106389045,"""Soft Puff""",[-0.07757002115249634],"[0, 1, 0, 0]"
1581723692111134152,,24,,1581723692,110430955,"""Soft Puff""",[-0.06671185791492462],"[0, 1, 0, 0]"
1581723692184664862,,25,,1581723692,182729005,"""Soft Puff""",[-0.055885814130306244],"[0, 1, 0, 0]"
1581723692186515063,,26,,1581723692,184760093,"""Soft Puff""",[-0.06671185791492462],"[0, 1, 0, 0]"
1581723692194446197,,27,,1581723692,192620992,"""Soft Puff""",[-0.055885814130306244],"[0, 1, 0, 0]"
1581723692267351188,,28,,1581723692,266550064,"""Soft Puff""",[-0.04502765089273453],"[0, 1, 0, 0]"
1581723692269162277,,29,,1581723692,268378973,"""Soft Puff""",[-0.055885814130306244],"[0, 1, 0, 0]"
1581723692271150724,,30,,1581723692,270391941,"""Soft Puff""",[-0.04502765089273453],"[0, 1, 0, 0]"
1581723692301582373,,31,,1581723692,300559997,"""Soft Puff""",[-0.03416948765516281],"[0, 1, 0, 0]"
1581723692313322695,,32,,1581723692,312556028,"""Soft Puff""",[-0.023311322554945946],"[0, 1, 0, 0]"
1581723692323339693,,33,,1581723692,322491884,"""Soft Puff""",[-0.012453158386051655],"[0, 1, 0, 0]"
1581723692331300246,,34,,1581723692,330503940,"""Zero Band""",[-0.0016271184431388974],"[0, 0, 0, 0]"
1581723692337337131,,35,,1581723692,336433887,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581723692345740063,,36,,1581723692,344656944,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581723692349077440,,37,,1581723692,348376989,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581723692357388121,,38,,1581723692,356657028,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581723692361378780,,39,,1581723692,360390901,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581723692382182226,,40,,1581723692,381462097,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581723692382338942,,41,,1581723692,381462097,"""input stopped""",[-0.0],"[0, 0, 0, 0]"
1581723695366662097,,42,,1581723695,363755941,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581723695368813582,,43,,1581723695,366800069,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581723695370564676,,44,,1581723695,368942975,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581723695373936373,,45,,1581723695,372453927,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581723695377494750,,46,,1581723695,374751091,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581723695378958432,,47,,1581723695,377616882,"""Zero Band""",[0.0016592431347817183],"[0, 0, 0, 0]"
1581723695381828257,,48,,1581723695,380506992,"""Soft Sip""",[0.023343447595834732],"[0, 0, 1, 0]"
1581723695384249305,,49,,1581723695,382558107,"""Soft Sip""",[0.03420161083340645],"[0, 0, 1, 0]"
1581723695385639668,,50,,1581723695,384527921,"""Soft Sip""",[0.04505977779626846],"[0, 0, 1, 0]"
1581723695387340463,,51,,1581723695,386420965,"""Soft Sip""",[0.05591794103384018],"[0, 0, 1, 0]"
1581723695391969331,,52,,1581723695,390485048,"""Soft Sip""",[0.06674397736787796],"[0, 0, 1, 0]"
1581723695394044562,,53,,1581723695,392484903,"""Soft Sip""",[0.08846031129360199],"[0, 0, 1, 0]"
1581723695395734053,,54,,1581723695,394473075,"""Soft Sip""",[0.0993184745311737],"[0, 0, 1, 0]"
1581723695399849613,,55,,1581723695,398530006,"""Soft Sip""",[0.11017663776874542],"[0, 0, 1, 0]"
1581723695401321754,,56,,1581723695,400429964,"""Soft Sip""",[0.12103480100631714],"[0, 0, 1, 0]"
1581723695403273433,,57,,1581723695,402396917,"""Soft Sip""",[0.13186083734035492],"[0, 0, 1, 0]"
1581723695407246744,,58,,1581723695,406487941,"""Soft Sip""",[0.14271900057792664],"[0, 0, 1, 0]"
1581723695409119232,,59,,1581723695,408416032,"""Soft Sip""",[0.15357716381549835],"[0, 0, 1, 0]"
1581723695411166723,,60,,1581723695,410506963,"""Soft Sip""",[0.16443534195423126],"[0, 0, 1, 0]"
1581723695413029382,,61,,1581723695,412399053,"""Soft Sip""",[0.17529350519180298],"[0, 0, 1, 0]"
1581723695417079362,,62,,1581723695,416501045,"""Soft Sip""",[0.18611954152584076],"[0, 0, 1, 0]"
1581723695419036257,,63,,1581723695,418515920,"""Soft Sip""",[0.19697770476341248],"[0, 0, 1, 0]"
1581723695420873042,,64,,1581723695,420357942,"""Soft Sip""",[0.2078358680009842],"[0, 0, 1, 0]"
1581723695425100623,,65,,1581723695,424408912,"""Soft Sip""",[0.2186940312385559],"[0, 0, 1, 0]"
1581723695427187597,,66,,1581723695,426441907,"""Soft Sip""",[0.22955219447612762],"[0, 0, 1, 0]"
1581723695429048710,,67,,1581723695,428395032,"""Soft Sip""",[0.2403782308101654],"[0, 0, 1, 0]"
1581723695433199843,,68,,1581723695,432442903,"""Soft Sip""",[0.2512364089488983],"[0, 0, 1, 0]"
1581723695435286760,,69,,1581723695,434422016,"""Soft Sip""",[0.26209455728530884],"[0, 0, 1, 0]"
1581723695436921608,,70,,1581723695,436366081,"""Soft Sip""",[0.27295273542404175],"[0, 0, 1, 0]"
1581723695439282143,,71,,1581723695,438441991,"""Soft Sip""",[0.28381088376045227],"[0, 0, 1, 0]"
1581723695445198595,,72,,1581723695,444530963,"""Soft Sip""",[0.2946690618991852],"[0, 0, 1, 0]"
1581723695447219020,,73,,1581723695,446445941,"""Soft-Hard Sip Deadband""",[0.30549511313438416],"[0, 0, 0, 0]"
1581723695451241624,,74,,1581723695,450438022,"""Soft-Hard Sip Deadband""",[0.3163532614707947],"[0, 0, 0, 0]"
1581723695454979687,,75,,1581723695,454368114,"""Soft-Hard Sip Deadband""",[0.3272114396095276],"[0, 0, 0, 0]"
1581723695459360786,,76,,1581723695,458425045,"""Soft-Hard Sip Deadband""",[0.3380695879459381],"[0, 0, 0, 0]"
1581723695463201027,,77,,1581723695,462387084,"""Soft-Hard Sip Deadband""",[0.348927766084671],"[0, 0, 0, 0]"
1581723695465006416,,78,,1581723695,464378118,"""Soft-Hard Sip Deadband""",[0.3597537875175476],"[0, 0, 0, 0]"
1581723695471123719,,79,,1581723695,470489978,"""Soft-Hard Sip Deadband""",[0.3706119656562805],"[0, 0, 0, 0]"
1581723695473061216,,80,,1581723695,472379922,"""Soft-Hard Sip Deadband""",[0.38147011399269104],"[0, 0, 0, 0]"
1581723695479051311,,81,,1581723695,478435993,"""Soft-Hard Sip Deadband""",[0.39232829213142395],"[0, 0, 0, 0]"
1581723695481219185,,82,,1581723695,480469942,"""Soft-Hard Sip Deadband""",[0.4031864404678345],"[0, 0, 0, 0]"
1581723695487189045,,83,,1581723695,486500978,"""Soft-Hard Sip Deadband""",[0.4140446186065674],"[0, 0, 0, 0]"
1581723695491107774,,84,,1581723695,490387916,"""Soft-Hard Sip Deadband""",[0.42487066984176636],"[0, 0, 0, 0]"
1581723695497129852,,85,,1581723695,496522903,"""Soft-Hard Sip Deadband""",[0.4357288181781769],"[0, 0, 0, 0]"
1581723695503079467,,86,,1581723695,502487897,"""Soft-Hard Sip Deadband""",[0.4465869963169098],"[0, 0, 0, 0]"
1581723695504971131,,87,,1581723695,504369974,"""Soft-Hard Sip Deadband""",[0.4574451446533203],"[0, 0, 0, 0]"
1581723695510982956,,88,,1581723695,510487079,"""Soft-Hard Sip Deadband""",[0.4683033227920532],"[0, 0, 0, 0]"
1581723695515039965,,89,,1581723695,514391899,"""Soft-Hard Sip Deadband""",[0.4791293442249298],"[0, 0, 0, 0]"
1581723695520977116,,90,,1581723695,520415067,"""Soft-Hard Sip Deadband""",[0.4899875223636627],"[0, 0, 0, 0]"
1581723695525524407,,91,,1581723695,524463891,"""Hard Sip""",[0.5008456707000732],"[0, 0, 0, 1]"
1581723695529009770,,92,,1581723695,528481006,"""Hard Sip""",[0.5117038488388062],"[0, 0, 0, 1]"
