rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
1581464262445594203,,1,,1581464262,443593978,'',"""Soft Sip"""
1581464266458898105,,2,,1581464266,456094026,'',"""Hard Puff"""
1581464270472293548,,3,,1581464270,468755006,'',"""Soft Puff"""
1581464274481575332,,4,,1581464274,480612039,'',"""Hard Sip"""
1581464278495692718,,5,,1581464278,492217063,'',"""Soft Sip"""
1581464282505007177,,6,,1581464282,504370927,'',"""Soft Puff"""
1581464286517203644,,7,,1581464286,515960931,'',"""Hard Puff"""
1581464290524046324,,8,,1581464290,523158073,'',"""Hard Sip"""
1581464294532784582,,9,,1581464294,528683900,'',"""Soft Puff"""
1581464298544260346,,10,,1581464298,543709993,'',"""Hard Sip"""
1581464314615376929,,11,,1581464314,614258050,'',"""Hard Sip"""
1581464318630748039,,12,,1581464318,628216028,'',"""Soft Sip"""
1581464322644085862,,13,,1581464322,640460968,'',"""Soft Puff"""
1581464326662158522,,14,,1581464326,658448934,'',"""Hard Puff"""
1581464330669280812,,15,,1581464330,668028116,'',"""Hard Puff"""
1581464334677530464,,16,,1581464334,676151037,'',"""Hard Sip"""
1581464338695541519,,17,,1581464338,692089080,'',"""Soft Sip"""
1581464342705418063,,18,,1581464342,704457044,'',"""Soft Puff"""
1581464346712716106,,19,,1581464346,712580919,'',"""Hard Sip"""
1581464350720460426,,20,,1581464350,719053030,'',"""Hard Puff"""
1581464354726037157,,21,,1581464354,725011110,'',"""Soft Sip"""
1581464358733706099,,22,,1581464358,732454061,'',"""Soft Puff"""
1581464362740910857,,23,,1581464362,740041017,'',"""Hard Sip"""
1581464366748056786,,24,,1581464366,747123956,'',"""Soft Puff"""
1581464370757202411,,25,,1581464370,756061077,'',"""Hard Puff"""
1581464374764345863,,26,,1581464374,763190031,'',"""Soft Sip"""
1581464378772713937,,27,,1581464378,772043943,'',"""Hard Puff"""
1581464382781491584,,28,,1581464382,780335903,'',"""Soft Sip"""
1581464386792222035,,29,,1581464386,788578987,'',"""Hard Sip"""
1581464390806287989,,30,,1581464390,804209947,'',"""Soft Puff"""
1581464394818482474,,31,,1581464394,816152095,'',"""Soft Puff"""
1581464398829506684,,32,,1581464398,828304052,'',"""Hard Puff"""
1581464402843779024,,33,,1581464402,839958906,'',"""Hard Sip"""
1581464437265307053,,34,,1581464437,261392116,'',"""Hard Puff"""
1581464441281163028,,35,,1581464441,277688026,'',"""Soft Sip"""
1581464445291684771,,36,,1581464445,288201093,'',"""Hard Sip"""
