rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
1582141744846746699,,1,,1582141744,845892906,'',"""mode_switch_left_3"""
1582141747246910206,,2,,1582141747,246720075,'',"""down"""
1582141749114530989,,3,,1582141749,114223003,'',"""counterclockwise"""
1582141750148416276,,4,,1582141750,148143053,'',"""up"""
1582141750781892628,,5,,1582141750,781645059,'',"""mode_switch_right_2"""
1582141752632638628,,6,,1582141752,632374048,'',"""right"""
1582141753637750640,,7,,1582141753,637542963,'',"""down"""
1582141755233680604,,8,,1582141755,233478069,'',"""right"""
1582141755917270676,,9,,1582141755,917082071,'',"""clockwise"""
1582141756717753368,,10,,1582141756,717569112,'',"""counterclockwise"""
1582141757501390842,,11,,1582141757,501204967,'',"""mode_switch_right_2"""
1582141758668584698,,12,,1582141758,668313980,'',"""mode_switch_right_2"""
1582141760686109742,,13,,1582141760,685921907,'',"""counterclockwise"""
1582141763637456106,,14,,1582141763,637224912,'',"""mode_switch_left_3"""
1582141765454879302,,15,,1582141765,454617977,'',"""up"""
1582141766655420480,,16,,1582141766,655163049,'',"""down"""
1582141767439076796,,17,,1582141767,438843965,'',"""mode_switch_left_2"""
1582141768339268805,,18,,1582141768,339046955,'',"""clockwise"""
1582141769839919004,,19,,1582141769,839715003,'',"""mode_switch_right_3"""
1582141771240589045,,20,,1582141771,240395069,'',"""left"""
1582141773041336989,,21,,1582141773,41105031,'',"""mode_switch_right_1"""
1582141774358614343,,22,,1582141774,358429908,'',"""mode_switch_right_3"""
1582141775709147655,,23,,1582141775,708970069,'',"""left"""
1582141777660207832,,24,,1582141777,660006999,'',"""mode_switch_right_1"""
1582141778477121853,,25,,1582141778,476890087,'',"""mode_switch_left_2"""
1582141779677615836,,26,,1582141779,677419900,'',"""left"""
1582141781728419141,,27,,1582141781,728213071,'',"""mode_switch_right_1"""
1582141782628851777,,28,,1582141782,628668069,'',"""mode_switch_left_1"""
1582141783379038830,,29,,1582141783,378828048,'',"""mode_switch_left_3"""
1582141784712950541,,30,,1582141784,712747097,'',"""mode_switch_left_1"""
1582141785863560991,,31,,1582141785,863373041,'',"""right"""
1582141786730523465,,32,,1582141786,730309963,'',"""mode_switch_right_3"""
1582141789114961750,,33,,1582141789,114749908,'',"""up"""
