rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
1582141738729406683,,1,,1582141738,728648900,'',"""115"""
1582141738729909876,,2,,1582141738,728913068,'',"""s"""
1582141747217563581,,3,,1582141747,217272043,'',"""49"""
1582141749084845418,,4,,1582141749,84542036,'',"""52"""
1582141750119204304,,5,,1582141750,118942022,'',"""52"""
1582141750752322461,,6,,1582141750,752126932,'',"""51"""
1582141752602985198,,7,,1582141752,602711915,'',"""49"""
1582141753608365992,,8,,1582141753,608098983,'',"""51"""
1582141755204801035,,9,,1582141755,204566001,'',"""52"""
1582141755888285901,,10,,1582141755,887773036,'',"""51"""
1582141756692915778,,11,,1582141756,692589998,'',"""51"""
1582141757471741592,,12,,1582141757,471539974,'',"""52"""
1582141758639316410,,13,,1582141758,639028072,'',"""49"""
1582141760656917230,,14,,1582141760,656553030,'',"""49"""
1582141763608798674,,15,,1582141763,608012914,'',"""52"""
1582141765425564100,,16,,1582141765,425307035,'',"""50"""
1582141766626026161,,17,,1582141766,625668048,'',"""51"""
1582141767409305729,,18,,1582141767,409063100,'',"""52"""
1582141768309759680,,19,,1582141768,309490919,'',"""50"""
1582141769810416261,,20,,1582141769,810101032,'',"""51"""
1582141771216424643,,21,,1582141771,216197967,'',"""49"""
1582141773012485241,,22,,1582141773,12142896,'',"""52"""
1582141774329361705,,23,,1582141774,328684091,'',"""49"""
1582141775679597024,,24,,1582141775,679335117,'',"""49"""
1582141777630637544,,25,,1582141777,630413055,'',"""52"""
1582141778452290863,,26,,1582141778,451968908,'',"""50"""
1582141779648155031,,27,,1582141779,647893905,'',"""50"""
1582141781698918683,,28,,1582141781,698581933,'',"""51"""
1582141782599610975,,29,,1582141782,599247932,'',"""49"""
1582141783349509682,,30,,1582141783,349275112,'',"""50"""
1582141784683665943,,31,,1582141784,683429956,'',"""49"""
1582141785834043761,,32,,1582141785,833731889,'',"""49"""
1582141786701169421,,33,,1582141786,700830936,'',"""50"""
1582141789085688621,,34,,1582141789,85185050,'',"""49"""
1582141790035799360,,35,,1582141790,35574913,'',"""51"""
1582141792603357589,,36,,1582141792,603100061,'',"""50"""
1582141793904160522,,37,,1582141793,903789043,'',"""50"""
1582141797005540947,,38,,1582141797,5243062,'',"""51"""
1582141798610499086,,39,,1582141798,610253095,'',"""65363"""
1582141798894353991,,40,,1582141798,894100904,'',"""65363"""
1582141799197042431,,41,,1582141799,196712970,'',"""65363"""
1582141799777851314,,42,,1582141799,777523040,'',"""65363"""
1582141806893140085,,43,,1582141806,892904043,'',"""49"""
1582141808048697996,,44,,1582141808,48171043,'',"""52"""
1582141809111170588,,45,,1582141809,110790014,'',"""50"""
1582141810294587305,,46,,1582141810,294316053,'',"""51"""
1582141811095483060,,47,,1582141811,94816923,'',"""51"""
1582141812095385437,,48,,1582141812,95128059,'',"""50"""
1582141813396125889,,49,,1582141813,395787000,'',"""49"""
1582141814413255199,,50,,1582141814,413005113,'',"""49"""
1582141815286184528,,51,,1582141815,285922050,'',"""51"""
1582141816263654428,,52,,1582141816,263309001,'',"""52"""
1582141819115106836,,53,,1582141819,114923000,'',"""52"""
1582141820198866687,,54,,1582141820,198574066,'',"""49"""
1582141822266299852,,55,,1582141822,265995025,'',"""52"""
1582141823617072626,,56,,1582141823,616753101,'',"""52"""
1582141826184630903,,57,,1582141826,184433937,'',"""52"""
1582141827919035266,,58,,1582141827,918752908,'',"""49"""
1582141828786058876,,59,,1582141828,785804033,'',"""51"""
1582141830152932262,,60,,1582141830,152703046,'',"""51"""
1582141831453685875,,61,,1582141831,453413963,'',"""50"""
1582141832571258975,,62,,1582141832,570832014,'',"""49"""
1582141833871309608,,63,,1582141833,870975971,'',"""49"""
1582141835121678098,,64,,1582141835,121484041,'',"""49"""
1582141839273468951,,65,,1582141839,273222923,'',"""49"""
1582141841141435585,,66,,1582141841,141093015,'',"""50"""
1582141843858897926,,67,,1582141843,858635902,'',"""51"""
1582141844642627824,,68,,1582141844,642395973,'',"""50"""
1582141846960456624,,69,,1582141846,960196971,'',"""50"""
1582141848077267698,,70,,1582141848,77004909,'',"""50"""
1582141850561613226,,71,,1582141850,561399936,'',"""51"""
1582141851278771908,,72,,1582141851,278506994,'',"""51"""
1582141852746082798,,73,,1582141852,745868921,'',"""50"""
1582141853479993403,,74,,1582141853,479674100,'',"""51"""
