rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
1582141747217563580,,1,,1582141747,217331886,'',"""1"""
1582141749084843440,,2,,1582141749,84598064,'',"""4"""
1582141750119228884,,3,,1582141750,118995904,'',"""4"""
1582141750752332410,,4,,1582141750,752181053,'',"""3"""
1582141752603015327,,5,,1582141752,602765083,'',"""1"""
1582141753608371316,,6,,1582141753,608160018,'',"""3"""
1582141755204792146,,7,,1582141755,204621076,'',"""4"""
1582141755888156588,,8,,1582141755,887828111,'',"""3"""
1582141756692887794,,9,,1582141756,692643880,'',"""3"""
1582141757471751169,,10,,1582141757,471594095,'',"""4"""
1582141758639308035,,11,,1582141758,639082908,'',"""1"""
1582141760656796918,,12,,1582141760,656606912,'',"""1"""
1582141763608251371,,13,,1582141763,608067989,'',"""4"""
1582141765425589779,,14,,1582141765,425359964,'',"""2"""
1582141766626007116,,15,,1582141766,625740051,'',"""3"""
1582141767409305476,,16,,1582141767,409116983,'',"""4"""
1582141768309757446,,17,,1582141768,309545993,'',"""2"""
1582141769810405954,,18,,1582141769,810158014,'',"""3"""
1582141771216453147,,19,,1582141771,216253995,'',"""1"""
1582141773012485072,,20,,1582141773,12223005,'',"""4"""
1582141774329030810,,21,,1582141774,328738927,'',"""1"""
1582141775679690410,,22,,1582141775,679388046,'',"""1"""
1582141777630643854,,23,,1582141777,630465984,'',"""4"""
1582141778452301644,,24,,1582141778,452043056,'',"""2"""
1582141779648146965,,25,,1582141779,647962093,'',"""2"""
1582141781698918572,,26,,1582141781,698656082,'',"""3"""
1582141782599466480,,27,,1582141782,599299907,'',"""1"""
1582141783349519417,,28,,1582141783,349328994,'',"""2"""
1582141784683671769,,29,,1582141784,683485031,'',"""1"""
1582141785834154734,,30,,1582141785,833786010,'',"""1"""
1582141786701178212,,31,,1582141786,700884103,'',"""2"""
1582141789085492978,,32,,1582141789,85238933,'',"""1"""
1582141790035791262,,33,,1582141790,35629034,'',"""3"""
1582141792603332168,,34,,1582141792,603156089,'',"""2"""
1582141793904150366,,35,,1582141793,903893947,'',"""2"""
1582141797005536207,,36,,1582141797,5296945,'',"""3"""
1582141806893132131,,37,,1582141806,892960071,'',"""1"""
1582141808048505862,,38,,1582141808,48228025,'',"""4"""
1582141809111052298,,39,,1582141809,110846996,'',"""2"""
1582141810294587248,,40,,1582141810,294370889,'',"""3"""
1582141811095147334,,41,,1582141811,94873905,'',"""3"""
1582141812095421166,,42,,1582141812,95182895,'',"""2"""
1582141813396220704,,43,,1582141813,395843029,'',"""1"""
1582141814413250645,,44,,1582141814,413059949,'',"""1"""
1582141815286149684,,45,,1582141815,285978078,'',"""3"""
1582141816263654426,,46,,1582141816,263365983,'',"""4"""
1582141819115129153,,47,,1582141819,114984035,'',"""4"""
1582141820198866685,,48,,1582141820,198633909,'',"""1"""
1582141822266299853,,49,,1582141822,266051054,'',"""4"""
1582141823617118172,,50,,1582141823,616808891,'',"""4"""
1582141826184664898,,51,,1582141826,184490919,'',"""4"""
1582141827919027385,,52,,1582141827,918809890,'',"""1"""
1582141828786114688,,53,,1582141828,785859107,'',"""3"""
1582141830152940326,,54,,1582141830,152759075,'',"""3"""
1582141831453789697,,55,,1582141831,453469991,'',"""2"""
1582141832571138274,,56,,1582141832,570887088,'',"""1"""
1582141833871314005,,57,,1582141833,871051073,'',"""1"""
1582141835121708503,,58,,1582141835,121540069,'',"""1"""
1582141839273442627,,59,,1582141839,273277044,'',"""1"""
1582141841141441994,,60,,1582141841,141168117,'',"""2"""
1582141843858890213,,61,,1582141843,858692884,'',"""3"""
1582141844642637964,,62,,1582141844,642452001,'',"""2"""
1582141846960448314,,63,,1582141846,960253953,'',"""2"""
1582141848077267824,,64,,1582141848,77063083,'',"""2"""
1582141850561732300,,65,,1582141850,561455965,'',"""3"""
1582141851278771911,,66,,1582141851,278565883,'',"""3"""
1582141852746090369,,67,,1582141852,745923042,'',"""2"""
1582141853480155327,,68,,1582141853,479729890,'',"""3"""
1582141854446608784,,69,,1582141854,446409940,'',"""3"""
1582141856030660752,,70,,1582141856,30452966,'',"""2"""
1582141857198429510,,71,,1582141857,198244094,'',"""4"""
1582141867785621860,,72,,1582141867,785437107,'',"""1"""
1582141868602686056,,73,,1582141868,602413892,'',"""3"""
1582141869386544545,,74,,1582141869,386306047,'',"""2"""
1582141870070136172,,75,,1582141870,69911956,'',"""3"""
1582141871087474252,,76,,1582141871,87255001,'',"""2"""
1582141872021121497,,77,,1582141872,20828008,'',"""2"""
1582141873354609425,,78,,1582141873,354397058,'',"""1"""
1582141874155237087,,79,,1582141874,155052900,'',"""2"""
1582141876839542379,,80,,1582141876,839301109,'',"""2"""
1582141877590272969,,81,,1582141877,590010881,'',"""2"""
1582141878640377450,,82,,1582141878,640167951,'',"""3"""
1582141880424713164,,83,,1582141880,424442052,'',"""1"""
1582141881324950249,,84,,1582141881,324704885,'',"""4"""
1582141882225521838,,85,,1582141882,225286006,'',"""2"""
1582141883309231607,,86,,1582141883,308891057,'',"""1"""
1582141884009378167,,87,,1582141884,9145975,'',"""1"""
1582141886077011582,,88,,1582141886,76841115,'',"""3"""
1582141886660729293,,89,,1582141886,660393953,'',"""3"""
1582141888828127710,,90,,1582141888,827941894,'',"""1"""
1582141891879593654,,91,,1582141891,879364967,'',"""4"""
1582141893282134344,,92,,1582141893,281882047,'',"""4"""
1582141893963669096,,93,,1582141893,963447093,'',"""3"""
1582141894814167419,,94,,1582141894,813937902,'',"""1"""
1582141895830978736,,95,,1582141895,830678939,'',"""4"""
1582141896514612237,,96,,1582141896,514333009,'',"""4"""
1582141897314977762,,97,,1582141897,314713954,'',"""4"""
1582141899399226652,,98,,1582141899,399027109,'',"""1"""
1582141900282865682,,99,,1582141900,282594919,'',"""1"""
1582141901550213343,,100,,1582141901,549892902,'',"""3"""
1582141902334082620,,101,,1582141902,333878040,'',"""4"""
1582141903134167601,,102,,1582141903,133900880,'',"""4"""
1582141903834445435,,103,,1582141903,834264039,'',"""3"""
1582141904484580796,,104,,1582141904,484390020,'',"""3"""
1582141906585510253,,105,,1582141906,585325956,'',"""2"""
1582141907452497703,,106,,1582141907,452301025,'',"""2"""
1582141908603024349,,107,,1582141908,602834939,'',"""4"""
