rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
1582161794623247862,,1,,1582161794,622334003,'',"""left"""
1582161796841740124,,2,,1582161796,839785099,'',''
1582161796857007604,,3,,1582161796,856427907,'',"""clockwise"""
1582161801358864087,,4,,1582161801,358315944,'',''
1582161801375538827,,5,,1582161801,375037908,'',"""mode_switch_left_1"""
1582161802926954021,,6,,1582161802,926414966,'',''
1582161802943136590,,7,,1582161802,942594051,'',"""up"""
1582161805877391064,,8,,1582161805,876851081,'',''
1582161805894125122,,9,,1582161805,893543958,'',"""mode_switch_left_2"""
1582161806561072456,,10,,1582161806,560550928,'',''
1582161806577815213,,11,,1582161806,577259063,'',"""counterclockwise"""
1582161808912463630,,12,,1582161808,911889076,'',''
1582161808928884307,,13,,1582161808,928333997,'',"""down"""
1582161810746465432,,14,,1582161810,745835065,'',''
1582161810763066847,,15,,1582161810,762507915,'',"""mode_switch_right_3"""
1582161813397589738,,16,,1582161813,397027969,'',''
1582161813414146896,,17,,1582161813,413651943,'',"""mode_switch_left_3"""
1582161815115090126,,18,,1582161815,114515066,'',''
1582161815131812801,,19,,1582161815,131226062,'',"""mode_switch_right_1"""
1582161816498846506,,20,,1582161816,498294115,'',''
1582161816515590923,,21,,1582161816,515033960,'',"""mode_switch_right_2"""
1582161817798436400,,22,,1582161817,798198938,'',''
1582161817815266608,,23,,1582161817,814977884,'',"""right"""
1582161819733458743,,24,,1582161819,732914924,'',''
