rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
1582161788521875016,,2,,1582161788,521251916,'',"""s"""
1582161796326814891,,3,,1582161796,326514005,'',"""52"""
1582161802412643725,,4,,1582161802,412406921,'',"""50"""
1582161805365049433,,5,,1582161805,364801883,'',"""51"""
1582161806047519147,,6,,1582161806,47262907,'',"""51"""
1582161808398514872,,7,,1582161808,398245096,'',"""51"""
1582161810232766428,,8,,1582161810,232536077,'',"""51"""
1582161810613996297,,9,,1582161810,613334894,'',"""51"""
1582161812884572911,,10,,1582161812,884316921,'',"""50"""
1582161814601176090,,11,,1582161814,600920915,'',"""50"""
1582161815985206784,,12,,1582161815,984829902,'',"""49"""
1582161817286059052,,13,,1582161817,285819053,'',"""49"""
1582161819220185463,,14,,1582161819,219947099,'',"""51"""
