rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
1582161796326805650,,1,,1582161796,326580047,'',"""4"""
1582161802412641817,,2,,1582161802,412491083,'',"""2"""
1582161805365102224,,3,,1582161805,364859104,'',"""3"""
1582161806047517073,,4,,1582161806,47321081,'',"""3"""
1582161808398503603,,5,,1582161808,398302078,'',"""3"""
1582161810232895642,,6,,1582161810,232593059,'',"""3"""
1582161812884560583,,7,,1582161812,884377002,'',"""2"""
1582161814601170784,,8,,1582161814,600979089,'',"""2"""
1582161815985175186,,9,,1582161815,984884977,'',"""1"""
1582161817286086129,,10,,1582161817,285880088,'',"""1"""
1582161819220194011,,11,,1582161819,220006942,'',"""3"""
