rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
1582161527814712772,,2,,1582161527,814183950,'',"""s"""
1582161535115015594,,3,,1582161535,114746093,'',"""51"""
1582161541301042108,,4,,1582161541,300780057,'',"""50"""
1582161542768590501,,5,,1582161542,768336057,'',"""51"""
1582161543986318227,,6,,1582161543,986088991,'',"""51"""
1582161545603307172,,7,,1582161545,602952957,'',"""49"""
1582161548254162319,,8,,1582161548,253897905,'',"""52"""
1582161549404524036,,9,,1582161549,404313087,'',"""51"""
1582161550721858987,,10,,1582161550,721641063,'',"""52"""
1582161553272725934,,11,,1582161553,272519111,'',"""50"""
1582161554490053693,,12,,1582161554,489682912,'',"""51"""
1582161555757314847,,13,,1582161555,757061958,'',"""50"""
1582161557624665824,,14,,1582161557,624366998,'',"""49"""
1582161559675596614,,15,,1582161559,675225973,'',"""49"""
1582161562276684855,,16,,1582161562,276474952,'',"""49"""
1582161563667337311,,17,,1582161563,667085886,'',"""49"""
1582161564844738475,,18,,1582161564,844364881,'',"""50"""
1582161565995012519,,19,,1582161565,994724988,'',"""50"""
1582161567463529011,,20,,1582161567,463044881,'',"""51"""
1582161570596859100,,21,,1582161570,596589088,'',"""50"""
1582161573465860416,,22,,1582161573,465645074,'',"""52"""
1582161574765399167,,23,,1582161574,764988899,'',"""52"""
1582161576232620991,,24,,1582161576,232394933,'',"""50"""
1582161578167077187,,25,,1582161578,166763067,'',"""49"""
1582161579950944722,,26,,1582161579,950614929,'',"""50"""
1582161581618145836,,27,,1582161581,617887973,'',"""51"""
1582161582868844912,,28,,1582161582,868597984,'',"""52"""
1582161584519825239,,29,,1582161584,519577980,'',"""50"""
1582161585903319389,,30,,1582161585,903072118,'',"""51"""
1582161587337299066,,31,,1582161587,337075948,'',"""51"""
1582161588671222937,,32,,1582161588,670903921,'',"""51"""
1582161591305713946,,33,,1582161591,305499076,'',"""49"""
1582161592589689686,,34,,1582161592,589350938,'',"""50"""
1582161594006879145,,35,,1582161594,6654024,'',"""51"""
1582161598392070919,,36,,1582161598,391788959,'',"""49"""
1582161602443814675,,37,,1582161602,443563938,'',"""51"""
1582161604249107919,,38,,1582161604,248898029,'',"""65363"""
1582161604599566569,,39,,1582161604,599390983,'',"""65363"""
1582161604883852216,,40,,1582161604,883646011,'',"""65363"""
1582161605201403945,,41,,1582161605,201040983,'',"""65363"""
1582161613331832998,,42,,1582161613,331597089,'',"""52"""
1582161615799767776,,43,,1582161615,799504995,'',"""51"""
1582161617817061533,,44,,1582161617,816813945,'',"""50"""
1582161619384764440,,45,,1582161619,384505987,'',"""50"""
1582161620835075579,,46,,1582161620,834815979,'',"""49"""
1582161624206537929,,47,,1582161624,205377101,'',"""51"""
1582161626020439558,,48,,1582161626,20162105,'',"""52"""
1582161627471327984,,49,,1582161627,471019029,'',"""51"""
1582161629305358684,,50,,1582161629,305047035,'',"""52"""
1582161631506235194,,51,,1582161631,506006956,'',"""49"""
1582161633207474177,,52,,1582161633,207128047,'',"""52"""
1582161634574325140,,53,,1582161634,574007034,'',"""50"""
1582161635791518251,,54,,1582161635,791256904,'',"""50"""
1582161637692411852,,55,,1582161637,692161083,'',"""51"""
1582161639543263207,,56,,1582161639,542685031,'',"""52"""
1582161641143674505,,57,,1582161641,143470048,'',"""52"""
1582161643061229124,,58,,1582161643,60945987,'',"""49"""
1582161644311732787,,59,,1582161644,311455011,'',"""50"""
1582161646746095994,,60,,1582161646,745778083,'',"""51"""
1582161647896863344,,61,,1582161647,896616935,'',"""51"""
1582161649080642771,,62,,1582161649,80454111,'',"""51"""
1582161650547747702,,63,,1582161650,547475099,'',"""52"""
1582161652231759973,,64,,1582161652,231473922,'',"""50"""
1582161653699549128,,65,,1582161653,699357032,'',"""52"""
1582161657450981557,,66,,1582161657,450738906,'',"""50"""
1582161659701574816,,67,,1582161659,701374053,'',"""52"""
1582161661018986119,,68,,1582161661,18656015,'',"""50"""
1582161664237002971,,69,,1582161664,236794948,'',"""51"""
1582161665704612839,,70,,1582161665,704341888,'',"""50"""
1582161668138678551,,71,,1582161668,138444900,'',"""50"""
1582161669456034318,,72,,1582161669,455712080,'',"""49"""
1582161670973429129,,73,,1582161670,973227977,'',"""49"""
1582161672557105601,,74,,1582161672,556895971,'',"""49"""
1582161674457985922,,75,,1582161674,457649946,'',"""49"""
1582161676458762587,,76,,1582161676,458560943,'',"""49"""
1582161677792759181,,77,,1582161677,792371034,'',"""51"""
1582161679564937639,,78,,1582161679,564733028,'',"""65363"""
1582161679782098055,,79,,1582161679,781856060,'',"""65363"""
1582161679966694431,,80,,1582161679,966484069,'',"""65363"""
1582161680531846406,,81,,1582161680,531558990,'',"""65363"""
1582161687430455187,,82,,1582161687,430135011,'',"""51"""
1582161689247768425,,83,,1582161689,247536897,'',"""51"""
1582161690348121489,,84,,1582161690,347887992,'',"""51"""
1582161691681996689,,85,,1582161691,681704998,'',"""52"""
1582161693315980293,,86,,1582161693,315757989,'',"""51"""
1582161694699955809,,87,,1582161694,699702024,'',"""50"""
1582161697084568747,,88,,1582161697,84300041,'',"""52"""
1582161698652218022,,89,,1582161698,651766061,'',"""50"""
1582161699902096438,,90,,1582161699,901874065,'',"""49"""
1582161701369602094,,91,,1582161701,369261980,'',"""51"""
1582161704420722920,,92,,1582161704,420473098,'',"""49"""
1582161705688128596,,93,,1582161705,687813043,'',"""51"""
1582161709172932492,,94,,1582161709,172698974,'',"""52"""
1582161711307803958,,95,,1582161711,307570934,'',"""50"""
1582161714058250990,,96,,1582161714,57986021,'',"""51"""
1582161716375842257,,97,,1582161716,375638008,'',"""51"""
1582161718510292087,,98,,1582161718,510044097,'',"""49"""
1582161719877315363,,99,,1582161719,877111911,'',"""51"""
1582161722995786401,,100,,1582161722,995569944,'',"""49"""
1582161724279128376,,101,,1582161724,278928041,'',"""50"""
1582161725479741346,,102,,1582161725,479500055,'',"""49"""
1582161727513741007,,103,,1582161727,513509035,'',"""52"""
1582161728748077983,,104,,1582161728,747760057,'',"""50"""
1582161729881518179,,105,,1582161729,881300926,'',"""49"""
1582161731099510923,,106,,1582161731,99311113,'',"""49"""
1582161732332703724,,107,,1582161732,332501888,'',"""50"""
1582161733683367334,,108,,1582161733,683160066,'',"""52"""
1582161735500832719,,109,,1582161735,500626087,'',"""49"""
1582161736884582972,,110,,1582161736,884390115,'',"""49"""
1582161739352455418,,111,,1582161739,352269887,'',"""52"""
1582161740669481369,,112,,1582161740,669306993,'',"""50"""
1582161742754009172,,113,,1582161742,753577947,'',"""50"""
1582161744121152146,,114,,1582161744,120928049,'',"""50"""
1582161745738783789,,115,,1582161745,738550901,'',"""51"""
1582161747089127686,,116,,1582161747,88819980,'',"""52"""
1582161748373295218,,117,,1582161748,372910022,'',"""51"""
