rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
1582161535115015632,,1,,1582161535,114810943,'',"""3"""
1582161541301041727,,2,,1582161541,300837993,'',"""2"""
1582161542768591526,,3,,1582161542,768390893,'',"""3"""
1582161543986405129,,4,,1582161543,986150026,'',"""3"""
1582161545603207546,,5,,1582161545,603012084,'',"""1"""
1582161548254167282,,6,,1582161548,253957033,'',"""4"""
1582161549404520194,,7,,1582161549,404371976,'',"""3"""
1582161550721906873,,8,,1582161550,721700906,'',"""4"""
1582161553272807813,,9,,1582161553,272576093,'',"""2"""
1582161554490047497,,10,,1582161554,489761114,'',"""3"""
1582161555757424143,,11,,1582161555,757119894,'',"""2"""
1582161557624662591,,12,,1582161557,624424934,'',"""1"""
1582161559675619606,,13,,1582161559,675337076,'',"""1"""
1582161562276692749,,14,,1582161562,276532888,'',"""1"""
1582161563667345425,,15,,1582161563,667140960,'',"""1"""
1582161564844738414,,16,,1582161564,844422101,'',"""2"""
1582161565995017872,,17,,1582161565,994781017,'',"""2"""
1582161567463456032,,18,,1582161567,463107109,'',"""3"""
1582161570596855081,,19,,1582161570,596648931,'',"""2"""
1582161573466069757,,20,,1582161573,465843915,'',"""4"""
1582161574765399164,,21,,1582161574,765065908,'',"""4"""
1582161576232748524,,22,,1582161576,232455015,'',"""2"""
1582161578167078118,,23,,1582161578,166820049,'',"""1"""
1582161579950841675,,24,,1582161579,950673103,'',"""2"""
1582161581618154430,,25,,1582161581,617944955,'',"""3"""
1582161582868836282,,26,,1582161582,868657112,'',"""4"""
1582161584519817250,,27,,1582161584,519637107,'',"""2"""
1582161585903284532,,28,,1582161585,903130054,'',"""3"""
1582161587337346905,,29,,1582161587,337132930,'',"""3"""
1582161588671230319,,30,,1582161588,670960903,'',"""3"""
1582161591305730876,,31,,1582161591,305556058,'',"""1"""
1582161592589605616,,32,,1582161592,589411973,'',"""2"""
1582161594006910629,,33,,1582161594,6712913,'',"""3"""
1582161598392152872,,34,,1582161598,391846895,'',"""1"""
1582161602443783415,,35,,1582161602,443622112,'',"""3"""
1582161613331833010,,36,,1582161613,331676959,'',"""4"""
1582161615800177091,,37,,1582161615,799563884,'',"""3"""
1582161617817051941,,38,,1582161617,816873073,'',"""2"""
1582161619384756106,,39,,1582161619,384566068,'',"""2"""
1582161620835058480,,40,,1582161620,834875106,'',"""1"""
1582161624206801193,,41,,1582161624,205439090,'',"""3"""
1582161626020407633,,42,,1582161626,20219087,'',"""4"""
1582161627471327924,,43,,1582161627,471076011,'',"""3"""
1582161629305353231,,44,,1582161629,305118083,'',"""4"""
1582161631506251270,,45,,1582161631,506064891,'',"""1"""
1582161633207456838,,46,,1582161633,207189083,'',"""4"""
1582161634574324294,,47,,1582161634,574065923,'',"""2"""
1582161635791514442,,48,,1582161635,791316986,'',"""2"""
1582161637692403391,,49,,1582161637,692219018,'',"""3"""
1582161639543059384,,50,,1582161639,542742967,'',"""4"""
1582161641143804565,,51,,1582161641,143549919,'',"""4"""
1582161643061221068,,52,,1582161643,61009883,'',"""1"""
1582161644311760428,,53,,1582161644,311520099,'',"""2"""
1582161646746208029,,54,,1582161646,745841026,'',"""3"""
1582161647896871846,,55,,1582161647,896683931,'',"""3"""
1582161649080752511,,56,,1582161649,80533027,'',"""3"""
1582161650547962454,,57,,1582161650,547538042,'',"""4"""
1582161652231759996,,58,,1582161652,231540918,'',"""2"""
1582161653699652939,,59,,1582161653,699450969,'',"""4"""
1582161657451013017,,60,,1582161657,450803041,'',"""2"""
1582161659701691454,,61,,1582161659,701457023,'',"""4"""
1582161661018991114,,62,,1582161661,18712043,'',"""2"""
1582161664237013765,,63,,1582161664,236854076,'',"""3"""
1582161665704696645,,64,,1582161665,704397916,'',"""2"""
1582161668138694675,,65,,1582161668,138504028,'',"""2"""
1582161669456005912,,66,,1582161669,455773115,'',"""1"""
1582161670973462923,,67,,1582161670,973283052,'',"""1"""
1582161672557269266,,68,,1582161672,556951999,'',"""1"""
1582161674458006680,,69,,1582161674,457706928,'',"""1"""
1582161676458763304,,70,,1582161676,458617925,'',"""1"""
1582161677792650277,,71,,1582161677,792428016,'',"""3"""
1582161687430343712,,72,,1582161687,430193901,'',"""3"""
1582161689247762103,,73,,1582161689,247596979,'',"""3"""
1582161690348113756,,74,,1582161690,347949028,'',"""3"""
1582161691682130018,,75,,1582161691,681787967,'',"""4"""
1582161693315989410,,76,,1582161693,315814971,'',"""3"""
1582161694699988732,,77,,1582161694,699760913,'',"""2"""
